Array Size (N),Key Comparison 1,Key Comparison 2,Key Comparison 3,Key Comparison 4,Key Comparison 5,Average,Threshold (S),Time Complexity ,Worst: NS + Nlog(N/S),Best: N+Nlog(N/S),Average,log(N/S)
1000,9130,9166,9080,9093,9015,9096.8,10,,16643.85619,7643.85619,12143.85619,6.64385619
2000,20271,20327,20148,20217,20140,20220.6,10,,35287.71238,17287.71238,26287.71238,7.64385619
4000,44500,44509,44378,44492,44338,44443.4,10,,74575.42476,38575.42476,56575.42476,8.64385619
8000,96939,97077,96892,97024,96889,96964.2,10,,157150.8495,85150.84952,121150.8495,9.64385619
10000,127153,127171,127095,126987,127227,127126.6,10,,199657.8428,109657.8428,154657.8428,9.965784285
16000,209978,210027,209921,209935,210101,209992.4,10,,330301.699,186301.699,258301.699,10.64385619
32000,452108,451792,452010,452020,452164,452018.8,10,,692603.3981,404603.3981,548603.3981,11.64385619
64000,968134,967557,967814,968014,968068,967917.4,10,,1449206.796,873206.7961,1161206.796,12.64385619
100000,1557555,1557721,1557438,1557821,1557450,1557597,10,,2328771.238,1428771.238,1878771.238,13.28771238
128000,2064623,2063343,2063303,2063344,2063927,2063708,10,,3026413.592,1874413.592,2450413.592,13.64385619
256000,4384659,4382359,4382907,4382987,4384059,4383394.2,10,,6308827.185,4004827.185,5156827.185,14.64385619
512000,9279456,9276474,9277235,9278209,9278917,9278058.2,10,,13129654.37,8521654.369,10825654.37,15.64385619
1000000,19065898,19066363,19064810,19067892,19064246,19065841.8,10,,26609640.47,17609640.47,22109640.47,16.60964047
1024000,19580794,19578150,19578424,19581073,19579240,19579536.2,10,,27283308.74,18067308.74,22675308.74,16.64385619
2048000,41208209,41209930,41205123,41206454,41204477,41206838.6,10,,56614617.48,38182617.48,47398617.48,17.64385619
4096000,86507707,86513694,86508233,86506980,86508937,86509110.2,10,,117325235,80461234.95,98893234.95,18.64385619
8192000,181202489,181213049,181208789,181206927,181208884,181208027.6,10,,242842469.9,169114469.9,205978469.9,19.64385619
10000000,226333687,226353678,226346551,226347449,226354841,226347241.2,10,,299315685.7,209315685.7,254315685.7,19.93156857
