Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
100, 4950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
200, 19900, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
300, 44850, 0.002000, 0.001000, 0.001000, 0.000000, 0.000000, 0.000800
400, 79800, 0.006000, 0.000000, 0.000000, 0.000000, 0.003000, 0.001800
500, 124750, 0.007000, 0.000000, 0.011000, 0.000000, 0.008000, 0.005200
600, 179700, 0.009000, 0.009000, 0.006000, 0.004000, 0.009000, 0.007400
700, 244650, 0.010000, 0.011000, 0.014000, 0.014000, 0.015000, 0.012800
800, 319600, 0.016000, 0.016000, 0.017000, 0.011000, 0.013000, 0.014600
900, 404550, 0.030000, 0.027000, 0.024000, 0.031000, 0.024000, 0.027200
1000, 499500, 0.026000, 0.020000, 0.027000, 0.025000, 0.023000, 0.024200
1100, 604450, 0.039000, 0.048000, 0.037000, 0.038000, 0.047000, 0.041800
1200, 719400, 0.048000, 0.052000, 0.048000, 0.051000, 0.051000, 0.050000
1300, 844350, 0.072000, 0.070000, 0.070000, 0.077000, 0.073000, 0.072400
1400, 979300, 0.091000, 0.086000, 0.081000, 0.077000, 0.077000, 0.082400
1500, 1124250, 0.090000, 0.093000, 0.093000, 0.093000, 0.094000, 0.092600
1600, 1279200, 0.106000, 0.112000, 0.108000, 0.103000, 0.106000, 0.107000
1700, 1444150, 0.124000, 0.132000, 0.130000, 0.123000, 0.120000, 0.125800
1800, 1619100, 0.147000, 0.138000, 0.140000, 0.146000, 0.142000, 0.142600
1900, 1804050, 0.168000, 0.160000, 0.165000, 0.164000, 0.160000, 0.163400
2000, 1999000, 0.188000, 0.174000, 0.182000, 0.181000, 0.174000, 0.179800
2100, 2203950, 0.194000, 0.203000, 0.205000, 0.201000, 0.208000, 0.202200
2200, 2418900, 0.228000, 0.235000, 0.232000, 0.222000, 0.237000, 0.230800
2300, 2643850, 0.252000, 0.245000, 0.270000, 0.261000, 0.255000, 0.256600
2400, 2878800, 0.269000, 0.269000, 0.282000, 0.283000, 0.287000, 0.278000
2500, 3123750, 0.310000, 0.301000, 0.321000, 0.310000, 0.311000, 0.310600
2600, 3378700, 0.329000, 0.334000, 0.331000, 0.342000, 0.336000, 0.334400
2700, 3643650, 0.362000, 0.365000, 0.351000, 0.357000, 0.373000, 0.361600
2800, 3918600, 0.392000, 0.397000, 0.393000, 0.387000, 0.389000, 0.391600
2900, 4203550, 0.431000, 0.416000, 0.425000, 0.416000, 0.428000, 0.423200
3000, 4498500, 0.454000, 0.441000, 0.442000, 0.442000, 0.442000, 0.444200
3100, 4803450, 0.476000, 0.474000, 0.471000, 0.484000, 0.509000, 0.482800
3200, 5118400, 0.510000, 0.513000, 0.523000, 0.509000, 0.518000, 0.514600
3300, 5443350, 0.628000, 0.557000, 0.541000, 0.552000, 0.561000, 0.567800
3400, 5778300, 0.604000, 0.598000, 0.635000, 0.586000, 0.590000, 0.602600
3500, 6123250, 0.633000, 0.633000, 0.630000, 0.627000, 0.640000, 0.632600
3600, 6478200, 0.666000, 0.667000, 0.672000, 0.659000, 0.690000, 0.670800
3700, 6843150, 0.707000, 0.704000, 0.707000, 0.703000, 0.733000, 0.710800
3800, 7218100, 0.754000, 0.745000, 0.743000, 0.752000, 0.743000, 0.747400
3900, 7603050, 0.805000, 0.821000, 0.772000, 0.776000, 0.804000, 0.795600
4000, 7998000, 0.875000, 0.827000, 0.821000, 0.855000, 0.981000, 0.871800
